name, vocabulary_machine_name, description, format, weight, parent, description_field, field_iso3, field_linked_uris, field_old_geopolitical_ontology_, name_field, synonyms_synonyms, synonyms_synonyms, Term name
Guinea Ecuatorial,countries,,,189,,,,,,Guinea Ecuatorial,,,Guinea Ecuatorial
Guinea-Bissau,countries,,,186,,,GNB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Guinea-Bissau,http://aims.fao.org/aos/geopolitical.owl#Guinea-Bissau,Guinea-Bissau,,,Guinea-Bissau
Guinée,countries,,,181,,,,,,Guinée,,,Guinée
Guinée équatoriale,countries,,,190,,,,,,Guinée équatoriale,,,Guinée équatoriale
Guinée-Bissau,countries,,,187,,,,,,Guinée-Bissau,,,Guinée-Bissau
Gulf States,countries,,plain_text,0,,,,,,Gulf States,,,Gulf States
Guyana,countries,,,205,,,GUY,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Guyana,http://aims.fao.org/aos/geopolitical.owl#Guyana,Guyana,,,Guyana
Guyane française,countries,,,204,,,,,,Guyane française,,,Guyane française
Haiti,countries,,,215,,,HTI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Haiti,http://aims.fao.org/aos/geopolitical.owl#Haiti,Haiti,,,Haiti
Heard Island and McDonald Islands,countries,,,208,,,,,,Heard Island and McDonald Islands,,,Heard Island and McDonald Islands
Holy See,countries,,,498,,,VAT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Holy_See,http://aims.fao.org/aos/geopolitical.owl#Holy_See,Holy See,,,Holy See
Honduras,countries,,,211,,,HND,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Honduras,http://aims.fao.org/aos/geopolitical.owl#Honduras,Honduras,,,Honduras
Hong Kong,countries,,,207,,,,,,Hong Kong,,,Hong Kong
Hong Kong S.A.R.,countries,,,206,,,,,,Hong Kong S.A.R.,,,Hong Kong S.A.R.
"Hong Kong S.A.R., China",countries,,plain_text,0,,,,,,"Hong Kong S.A.R., China",,,"Hong Kong S.A.R., China"
Hongrie,countries,,,218,,,,,,Hongrie,,,Hongrie
Hungary,countries,,,216,,,HUN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Hungary,http://aims.fao.org/aos/geopolitical.owl#Hungary,Hungary,,,Hungary
Hungría,countries,,,217,,,,,,Hungría,,,Hungría
Iceland,countries,,,238,,,ISL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Iceland,http://aims.fao.org/aos/geopolitical.owl#Iceland,Iceland,,,Iceland
Île de Man,countries,,,223,,,,,,Île de Man,,,Île de Man
Île Norfolk,countries,,,346,,,,,,Île Norfolk,,,Île Norfolk
Îles Ashmore-et-Cartier,countries,,,27,,,,,,Îles Ashmore-et-Cartier,,,Îles Ashmore-et-Cartier
Îles Caïmanes,countries,,,115,,,,,,Îles Caïmanes,,,Îles Caïmanes
Îles Cook,countries,,,100,,,,,,Îles Cook,,,Îles Cook
Îles Féroé,countries,,,167,,,,,,Îles Féroé,,,Îles Féroé
Îles Heard-et-MacDonald,countries,,,210,,,,,,Îles Heard-et-MacDonald,,,Îles Heard-et-MacDonald
Îles Malvinas,countries,,,162,,,,,,Îles Malvinas,,,Îles Malvinas
Îles Mariannes du Nord,countries,,,324,,,,,,Îles Mariannes du Nord,,,Îles Mariannes du Nord
Îles Marshall,countries,,,312,,,,,,Îles Marshall,,,Îles Marshall
Îles Pitcairn,countries,,,367,,,,,,Îles Pitcairn,,,Îles Pitcairn
Îles Salomon,countries,,,420,,,,,,Îles Salomon,,,Îles Salomon
Îles Turques et Caïques,countries,,,460,,,,,,Îles Turques et Caïques,,,Îles Turques et Caïques
Îles Vierges britanniques,countries,,,507,,,,,,Îles Vierges britanniques,,,Îles Vierges britanniques
Îles Vierges des États-Unis,countries,,,510,,,,,,Îles Vierges des États-Unis,,,Îles Vierges des États-Unis
Îles Wallis et Futuna,countries,,,515,,,,,,Îles Wallis et Futuna,,,Îles Wallis et Futuna
