name, vocabulary_machine_name, description, format, weight, parent, description_field, field_iso3, field_linked_uris, field_old_geopolitical_ontology_, name_field, synonyms_synonyms, synonyms_synonyms, Term name
South Africa,countries,,,519,,,ZAF,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/South_Africa,http://aims.fao.org/aos/geopolitical.owl#South_Africa,South Africa,,,South Africa
South America,countries,,plain_text,0,,,,,,South America,,,South America
South Asia,countries,,plain_text,1,,,,,,South Asia,,,South Asia
South Georgia and South Sandwich Islands,countries,,,412,,,,,,South Georgia and South Sandwich Islands,,,South Georgia and South Sandwich Islands
South Korea,countries,,plain_text,0,,,,,,South Korea,,,South Korea
South Sudan,countries,,,435,,,SSD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/South_Sudan,http://aims.fao.org/aos/geopolitical.owl#South_Sudan,South Sudan,,,South Sudan
Southern Africa,countries,,plain_text,1,,,,,,Southern Africa,,,Southern Africa
Spain,countries,,,147,,,ESP,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Spain,http://aims.fao.org/aos/geopolitical.owl#Spain,Spain,,,Spain
Sri Lanka,countries,,,287,,,LKA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Sri_Lanka,http://aims.fao.org/aos/geopolitical.owl#Sri_Lanka,Sri Lanka,,,Sri Lanka
Sudáfrica,countries,,,520,,,,,,Sudáfrica,,,Sudáfrica
Sudan,countries,,,406,,,SDN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Sudan_the,http://aims.fao.org/aos/geopolitical.owl#Sudan_the,Sudan,,,Sudan
Sudán del Sur,countries,,,436,,,,,,Sudán del Sur,,,Sudán del Sur
Suecia,countries,,,449,,,,,,Suecia,,,Suecia
Suède,countries,,,450,,,,,,Suède,,,Suède
Suisse,countries,,,85,,,,,,Suisse,,,Suisse
Suiza,countries,,,84,,,,,,Suiza,,,Suiza
Suriname,countries,,,441,,,SUR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Suriname,http://aims.fao.org/aos/geopolitical.owl#Suriname,Suriname,,,Suriname
Swaziland,countries,,,451,,,SWZ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Swaziland,http://aims.fao.org/aos/geopolitical.owl#Swaziland,Swaziland,,,Swaziland
Swazilandia,countries,,,452,,,,,,Swazilandia,,,Swazilandia
Sweden,countries,,,448,,,SWE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Sweden,http://aims.fao.org/aos/geopolitical.owl#Sweden,Sweden,,,Sweden
Switzerland,countries,,,83,,,CHE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Switzerland,http://aims.fao.org/aos/geopolitical.owl#Switzerland,Switzerland,,,Switzerland
Syria,countries,,plain_text,0,,,,,,Syria,,,Syria
Syrian Arab Republic,countries,,,455,,,SYR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Syrian_Arab_Republic_the,http://aims.fao.org/aos/geopolitical.owl#Syrian_Arab_Republic_the,Syrian Arab Republic,,,Syrian Arab Republic
Tadjikistan,countries,,,469,,,,,,Tadjikistan,,,Tadjikistan
Tailandia,countries,,,465,,,,,,Tailandia,,,Tailandia
Tajikistan,countries,,,467,,,TJK,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Tajikistan,http://aims.fao.org/aos/geopolitical.owl#Tajikistan,Tajikistan,,,Tajikistan
Tanzanía,countries,,,486,,,,,,Tanzanía,,,Tanzanía
Tayikistán,countries,,,468,,,,,,Tayikistán,,,Tayikistán
Tchad,countries,,,462,,,,,,Tchad,,,Tchad
Terres australes et antarctiques françaises,countries,,,30,,,,,,Terres australes et antarctiques françaises,,,Terres australes et antarctiques françaises
Territoire britannique de l'océan Indien,countries,,,231,,,,,,Territoire britannique de l'océan Indien,,,Territoire britannique de l'océan Indien
Territoire de l'océan Indien,countries,,,228,,,,,,Territoire de l'océan Indien,,,Territoire de l'océan Indien
Territorio Británico del Océano Índico,countries,,,230,,,,,,Territorio Británico del Océano Índico,,,Territorio Británico del Océano Índico
Territorio del Océano Índico,countries,,,227,,,,,,Territorio del Océano Índico,,,Territorio del Océano Índico
Thailand,countries,,,464,,,THA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Thailand,http://aims.fao.org/aos/geopolitical.owl#Thailand,Thailand,,,Thailand
Thaïlande,countries,,,466,,,,,,Thaïlande,,,Thaïlande
Tierras Australes y Antárticas Francesas,countries,,,29,,,,,,Tierras Australes y Antárticas Francesas,,,Tierras Australes y Antárticas Francesas
Timor-Leste,countries,,,473,,,TLS,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Timor-Leste,http://aims.fao.org/aos/geopolitical.owl#Timor-Leste,Timor-Leste,,,Timor-Leste
Togo,countries,,,463,,,TGO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Togo,http://aims.fao.org/aos/geopolitical.owl#Togo,Togo,,,Togo
Tokélaou,countries,,,471,,,,,,Tokélaou,,,Tokélaou
Tokelau,countries,,,470,,,TKL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Tokelau,http://aims.fao.org/aos/geopolitical.owl#Tokelau,Tokelau,,,Tokelau
Tonga,countries,,,474,,,TON,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Tonga,http://aims.fao.org/aos/geopolitical.owl#Tonga,Tonga,,,Tonga
Trinidad and Tobago,countries,,,475,,,TTO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Trinidad_and_Tobago,http://aims.fao.org/aos/geopolitical.owl#Trinidad_and_Tobago,Trinidad and Tobago,,,Trinidad and Tobago
Trinidad y Tabago,countries,,,476,,,,,,Trinidad y Tabago,,,Trinidad y Tabago
Trinité-et-Tobago,countries,,,477,,,,,,Trinité-et-Tobago,,,Trinité-et-Tobago
Túnez,countries,,,479,,,,,,Túnez,,,Túnez
Tunisia,countries,,,478,,,TUN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Tunisia,http://aims.fao.org/aos/geopolitical.owl#Tunisia,Tunisia,,,Tunisia
Tunisie,countries,,,480,,,,,,Tunisie,,,Tunisie
Turkey,countries,,,481,,,TUR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Turkey,http://aims.fao.org/aos/geopolitical.owl#Turkey,Turkey,,,Turkey
Turkmenistan,countries,,,472,,,TKM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Turkmenistan,http://aims.fao.org/aos/geopolitical.owl#Turkmenistan,Turkmenistan,,,Turkmenistan
Turks and Caicos Islands,countries,,,458,,,,,,Turks and Caicos Islands,,,Turks and Caicos Islands
Turquía,countries,,,482,,,,,,Turquía,,,Turquía
Turquie,countries,,,483,,,,,,Turquie,,,Turquie
Tuvalu,countries,,,484,,,TUV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Tuvalu,http://aims.fao.org/aos/geopolitical.owl#Tuvalu,Tuvalu,,,Tuvalu
Ucrania,countries,,,491,,,,,,Ucrania,,,Ucrania
Uganda,countries,,,488,,,UGA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Uganda,http://aims.fao.org/aos/geopolitical.owl#Uganda,Uganda,,,Uganda
Ukraine,countries,,,490,,,UKR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Ukraine,http://aims.fao.org/aos/geopolitical.owl#Ukraine,Ukraine,,,Ukraine
United Arab Emirates,countries,,,12,,,ARE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/United_Arab_Emirates__the,http://aims.fao.org/aos/geopolitical.owl#United_Arab_Emirates__the,United Arab Emirates,,,United Arab Emirates
United Kingdom,countries,,,171,,,GBR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/United_Kingdom_of_Great_Britain_and_Northern_Ireland__the,http://aims.fao.org/aos/geopolitical.owl#United_Kingdom_of_Great_Britain_and_Northern_Ireland__the,United Kingdom,,,United Kingdom
United Republic of Tanzania,countries,,,485,,,TZA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/United_Republic_of_Tanzania__the,http://aims.fao.org/aos/geopolitical.owl#United_Republic_of_Tanzania__the,United Republic of Tanzania,,,United Republic of Tanzania
United States of America,countries,,,493,,,USA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/United_States_of_America,http://aims.fao.org/aos/geopolitical.owl#United_States_of_America,United States of America,,,United States of America
United States Virgin Islands,countries,,,508,,,,,,United States Virgin Islands,,,United States Virgin Islands
Uruguay,countries,,,492,,,URY,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Uruguay,http://aims.fao.org/aos/geopolitical.owl#Uruguay,Uruguay,,,Uruguay
Uzbekistan,countries,,,496,,,UZB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Uzbekistan,http://aims.fao.org/aos/geopolitical.owl#Uzbekistan,Uzbekistan,,,Uzbekistan
Vanuatu,countries,,,512,,,VUT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Vanuatu,http://aims.fao.org/aos/geopolitical.owl#Vanuatu,Vanuatu,,,Vanuatu
Venezuela,countries,,,504,,,VEN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Venezuela,http://aims.fao.org/aos/geopolitical.owl#Venezuela,Venezuela,,,Venezuela
Viet Nam,countries,,,511,,,VNM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Viet_Nam,http://aims.fao.org/aos/geopolitical.owl#Viet_Nam,Viet Nam,,,Viet Nam
Vietnam,countries,,plain_text,0,,,,,,Vietnam,,,Vietnam
Wallis and Futuna Islands,countries,,,513,,,,,,Wallis and Futuna Islands,,,Wallis and Futuna Islands
West and Central Africa,countries,,plain_text,2,,,,,,West and Central Africa,,,West and Central Africa
West Bank and Gaza,countries,,plain_text,0,,,,,,West Bank and Gaza,,,West Bank and Gaza
Western Europe,countries,,plain_text,0,,,,,,Western Europe,,,Western Europe
Western Sahara,countries,,,401,,,,,,Western Sahara,,,Western Sahara
Yemen,countries,,,517,,,YEM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Yemen,http://aims.fao.org/aos/geopolitical.owl#Yemen,Yemen,,,Yemen
Zambia,countries,,,522,,,ZMB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Zambia,http://aims.fao.org/aos/geopolitical.owl#Zambia,Zambia,,,Zambia
Zambie,countries,,,523,,,,,,Zambie,,,Zambie
Zimbabwe,countries,,,524,,,ZWE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Zimbabwe,http://aims.fao.org/aos/geopolitical.owl#Zimbabwe,Zimbabwe,,,Zimbabwe
